Date,Pays,Filière,Valeur (TWh),
2021-07,Estonie,Autre,0,30679
2021-08,Estonie,Autre,0,33377
2021-09,Estonie,Autre,0,31975
2021-10,Estonie,Autre,0,3396
2021-11,Estonie,Autre,0,33337
2021-12,Estonie,Autre,0,32371
2022-01,Estonie,Autre,0,33395
2022-02,Estonie,Autre,0,30143
2022-03,Estonie,Autre,0,34113
2022-04,Estonie,Autre,0,28334
2022-05,Estonie,Autre,0,25296
2022-06,Estonie,Autre,0,2451
2022-07,Estonie,Autre,0,26238
2022-08,Estonie,Autre,0,28285
2022-09,Estonie,Autre,0,24614
2022-10,Estonie,Autre,0,75030000000001
2022-11,Estonie,Autre,0,44060000000001
2022-12,Estonie,Autre,0,4464
2023-01,Estonie,Autre,0,4464
2023-02,Estonie,Autre,0,4032
2023-03,Estonie,Autre,0,4464
2023-04,Estonie,Autre,0,4314
2023-05,Estonie,Autre,0,4464
2023-06,Estonie,Autre,0,925
2023-07,Estonie,Autre,0,10262
2023-08,Estonie,Autre,0,8233
2023-09,Estonie,Autre,0,10195
2023-10,Estonie,Autre,0,963
2023-11,Estonie,Autre,0,52000000000001
2023-12,Estonie,Autre,0,4464
2024-01,Estonie,Autre,0,4464
2024-02,Estonie,Autre,0,4176
2024-03,Estonie,Autre,0,4464
2024-04,Estonie,Autre,0,432
2024-05,Estonie,Autre,0,4464
2024-06,Estonie,Autre,6,"0,00018"
2024-07,Estonie,Autre,,
2024-08,Estonie,Autre,,
2024-09,Estonie,Autre,,
2024-10,Estonie,Autre,,
2024-11,Estonie,Autre,0,1164
2024-12,Estonie,Autre,7,"0,00083"
2025-01,Estonie,Autre,0,1095
2025-02,Estonie,Autre,0,2408
2025-03,Estonie,Autre,0,1509
2025-04,Estonie,Autre,9,"0,00088"
2025-05,Estonie,Autre,4,"0,00014"
2025-06,Estonie,Autre,2,"0,00004"
2025-07,Estonie,Autre,2,"0,00075"
2025-08,Estonie,Autre,0,1128
2025-09,Estonie,Autre,0,1338
2025-10,Estonie,Autre,0,2056
2025-11,Estonie,Autre,0,241727
2016-01,Estonie,Dechets,0,103393
2016-02,Estonie,Dechets,0,107798
2016-03,Estonie,Dechets,0,110006
2016-04,Estonie,Dechets,0,112831
2016-05,Estonie,Dechets,0,10105
2016-06,Estonie,Dechets,0,116075
2016-07,Estonie,Dechets,0,65706
2016-08,Estonie,Dechets,0,121537
2016-09,Estonie,Dechets,0,122709
2016-10,Estonie,Dechets,0,125183
2016-11,Estonie,Dechets,0,108555
2016-12,Estonie,Dechets,0,117478
2017-01,Estonie,Dechets,0,102548
2017-02,Estonie,Dechets,0,103382
2017-03,Estonie,Dechets,0,122229
2017-04,Estonie,Dechets,0,89071
2017-05,Estonie,Dechets,0,124568
2017-06,Estonie,Dechets,0,121577
2017-07,Estonie,Dechets,0,67938
2017-08,Estonie,Dechets,0,120275
2017-09,Estonie,Dechets,0,109177
2017-10,Estonie,Dechets,0,96265
2017-11,Estonie,Dechets,0,99038
2017-12,Estonie,Dechets,0,113705
2018-01,Estonie,Dechets,0,95336999999999
2018-02,Estonie,Dechets,0,99441
2018-03,Estonie,Dechets,0,113046
2018-04,Estonie,Dechets,0,106701
2018-05,Estonie,Dechets,0,11431
2018-06,Estonie,Dechets,0,123789
2018-07,Estonie,Dechets,0,661
2018-08,Estonie,Dechets,0,110821
2018-09,Estonie,Dechets,0,103443
2018-10,Estonie,Dechets,0,99631
2018-11,Estonie,Dechets,0,113737
2018-12,Estonie,Dechets,0,84543
